timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727197784751,54,GoToHome_ClearBook,200,,clearGuestbookHistory 1-1,text,true,,22628,464,1,2,http://localhost:8080/index.html,53,0,37
1727197784751,54,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-1,text,true,,22628,464,1,2,http://localhost:8080/index.html,53,0,37
1727197785567,6,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-2,text,true,,22628,464,2,3,http://localhost:8080/index.html,6,0,1
1727197786567,6,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-3,text,true,,22628,464,3,4,http://localhost:8080/index.html,6,0,2
1727197787566,6,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-4,text,true,,22628,464,4,5,http://localhost:8080/index.html,6,0,1
1727197788566,6,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-5,text,true,,22628,464,5,6,http://localhost:8080/index.html,6,0,2
1727197789566,6,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-6,text,true,,22628,464,6,7,http://localhost:8080/index.html,6,0,2
1727197790567,7,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-7,text,true,,22628,464,7,8,http://localhost:8080/index.html,6,0,2
1727197791568,4,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-8,text,true,,22628,464,8,9,http://localhost:8080/index.html,4,0,1
1727197790654,9,GoToClient_SendCom,200,,sendComment Stepping Thread Group 2-1,text,true,,6135,466,7,8,http://localhost:8080/clients.html,8,0,0
1727197791565,6,GoToClient_SendCom,200,,sendComment Stepping Thread Group 2-2,text,true,,6135,466,8,9,http://localhost:8080/clients.html,6,0,0
1727197792566,6,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-9,text,true,,22628,464,9,10,http://localhost:8080/index.html,6,0,1
1727197792565,6,GoToClient_SendCom,200,,sendComment Stepping Thread Group 2-3,text,true,,6135,466,9,10,http://localhost:8080/clients.html,6,0,0
1727197793566,7,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-10,text,true,,22628,464,10,11,http://localhost:8080/index.html,7,0,1
