timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727197786137,40623,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197786137,4160,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197786137,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197787137,40586,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197787138,3624,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197787138,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197788139,40563,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197788139,3080,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197788139,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197789139,40593,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197789140,4356,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197789140,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197790140,40564,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197790141,2484,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197790141,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197791142,40615,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197791142,11732,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197791142,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197792143,41054,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197792143,31232,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197792143,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197793143,41257,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197793144,6749,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197793144,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197794144,41233,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197794145,3919,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197794145,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197795146,41230,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197795146,4405,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197795147,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197796147,41070,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197796147,3900,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197796148,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197797148,41037,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197797148,3379,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197797148,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197798148,41022,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
